sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,15.49,-8.11,-4.46,51.97,15.02,3,2,7.08,2.07,351,0.45,12.76,27.99,2.19,79.10
signal1-model12330-TSM-,0.29,-17.17,-13.81,11.23,0.92,6,3,4.71,0.09,181,0.30,1.59,5.86,0.06,55.93
signal1-model1ICICIBC-IBN-,15.42,-7.86,-4.93,32.34,14.42,3,2,6.83,2.13,172,0.44,13.67,25.17,2.26,76.07
signal1-model1TTMT-TTM-,19.87,-11.76,-2.02,63.34,19.91,3,2,8.35,2.21,141,0.53,16.06,39.10,2.38,77.38
signal1-model1HDFCB-HDB-,12.49,-5.32,-3.66,48.64,11.70,5,3,8.36,1.45,213,0.54,10.38,23.02,1.49,68.65
signal1-model12303-UMC-,5.05,-11.54,-11.54,22.79,3.87,7,3,6.70,0.77,840,0.43,3.01,11.57,0.75,54.28
signal1-model2INFO-INFY-,14.26,-13.05,-13.05,43.78,13.74,3,2,6.71,2.02,567,0.43,12.33,29.54,2.13,87.38
signal1-model22330-TSM-,3.79,-6.71,-6.21,16.87,4.05,6,2,3.81,1.00,514,0.24,4.67,9.21,0.99,73.20
signal1-model2ICICIBC-IBN-,18.85,-4.46,3.28,36.91,17.87,3,2,7.73,2.27,63,0.49,17.18,27.77,2.44,88.66
signal1-model2TTMT-TTM-,22.08,-6.14,-4.96,64.21,22.33,3,1,9.08,2.24,75,0.58,17.15,45.69,2.43,85.71
signal1-model2HDFCB-HDB-,13.45,-6.01,-4.61,35.79,11.97,5,1,8.16,1.59,156,0.52,11.36,22.70,1.65,86.93
signal1-model22303-UMC-,11.21,-5.90,-4.02,28.43,10.09,7,2,6.07,1.78,151,0.39,9.69,18.87,1.85,77.36
signal2-model1INFO-INFY-,14.44,-8.55,-5.37,41.54,14.17,3,2,6.58,2.08,287,0.42,13.23,23.88,2.19,78.74
signal2-model12330-TSM-,-0.27,-21.43,-16.32,11.28,0.22,6,4,4.29,-0.04,391,0.27,0.53,7.17,-0.06,58.88
signal2-model1ICICIBC-IBN-,13.09,-11.54,-8.69,26.49,12.50,3,3,7.42,1.70,290,0.47,12.41,22.30,1.77,75.08
signal2-model1TTMT-TTM-,17.92,-8.57,-2.77,45.90,17.87,3,2,8.86,1.91,125,0.57,16.13,34.13,2.02,77.54
signal2-model1HDFCB-HDB-,13.34,-4.47,-0.14,55.82,12.13,5,3,7.91,1.62,147,0.51,10.74,21.89,1.69,70.93
signal2-model12303-UMC-,2.72,-8.82,-6.85,12.74,2.27,7,3,6.04,0.47,724,0.39,2.37,6.54,0.45,55.23
signal2-model2INFO-INFY-,13.22,-10.31,-9.80,33.83,12.86,3,2,6.39,1.97,429,0.41,11.58,24.67,2.07,82.53
signal2-model22330-TSM-,1.97,-15.81,-12.33,11.97,2.40,6,2,3.90,0.52,412,0.25,2.71,8.96,0.50,67.75
signal2-model2ICICIBC-IBN-,14.76,-9.31,-4.96,30.44,14.29,3,2,7.61,1.85,168,0.49,13.81,25.00,1.94,79.71
signal2-model2TTMT-TTM-,17.81,-10.94,-9.95,45.51,17.91,3,2,9.07,1.85,157,0.58,16.98,36.48,1.96,80.38
signal2-model2HDFCB-HDB-,12.58,-7.30,-5.47,44.04,11.07,5,2,7.90,1.54,223,0.51,10.34,22.71,1.59,81.75
signal2-model22303-UMC-,6.41,-6.22,-3.28,18.82,5.70,7,2,5.52,1.15,339,0.35,5.21,10.48,1.16,66.40
