sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,8.38,-6.62,-6.62,25.09,7.28,3,2,5.73,1.43,351,0.37,7.71,13.98,1.46,81.53
signal1-model12330-TSM-,0.16,-13.77,-9.46,6.19,0.13,3,3,3.87,0.06,470,0.25,0.51,4.52,0.04,63.24
signal1-model1ICICIBC-IBN-,8.79,-3.88,-0.67,22.66,8.18,2,2,5.21,1.64,266,0.33,8.06,14.58,1.69,84.06
signal1-model1TTMT-TTM-,12.83,-12.02,-3.50,31.16,12.32,2,3,6.84,1.80,290,0.44,10.50,21.50,1.88,85.29
signal1-model1HDFCB-HDB-,6.16,-4.82,-1.31,18.20,6.03,3,2,5.84,1.05,251,0.37,5.23,12.09,1.05,69.57
signal1-model12303-UMC-,3.57,-10.61,-5.29,24.29,3.83,3,2,6.38,0.58,470,0.41,2.35,10.38,0.56,57.14
signal1-model2INFO-INFY-,9.61,-6.52,-6.52,24.06,8.76,3,1,5.47,1.70,439,0.35,10.31,14.94,1.76,93.10
signal1-model22330-TSM-,1.64,-6.08,-5.91,7.69,1.53,3,1,3.18,0.53,514,0.20,1.62,5.18,0.52,75.00
signal1-model2ICICIBC-IBN-,8.73,-3.63,-2.18,28.56,8.40,2,1,5.49,1.55,168,0.35,7.41,15.72,1.59,88.89
signal1-model2TTMT-TTM-,15.58,-6.07,-6.07,39.05,14.99,2,1,7.33,2.01,123,0.47,13.31,25.29,2.12,95.24
signal1-model2HDFCB-HDB-,10.27,-4.77,-2.81,31.06,9.92,2,1,8.11,1.24,194,0.52,8.75,20.04,1.27,86.75
signal1-model22303-UMC-,8.25,-5.30,0.04,24.92,7.75,3,1,6.64,1.23,171,0.42,5.47,16.47,1.24,76.92
signal2-model1INFO-INFY-,6.69,-7.53,-7.53,17.29,5.78,3,1,5.24,1.26,361,0.34,6.71,12.63,1.28,79.31
signal2-model12330-TSM-,-0.34,-14.73,-7.51,4.67,-0.66,3,3,3.21,-0.09,506,0.21,-0.94,2.95,-0.11,59.35
signal2-model1ICICIBC-IBN-,8.58,-7.32,-6.69,22.53,7.92,2,2,5.30,1.58,456,0.34,7.69,14.87,1.62,82.67
signal2-model1TTMT-TTM-,10.69,-9.32,-7.78,31.34,10.17,2,2,7.03,1.48,330,0.45,8.49,20.58,1.52,80.67
signal2-model1HDFCB-HDB-,6.09,-4.82,-1.31,18.20,5.36,3,2,5.22,1.16,251,0.33,5.01,9.49,1.17,75.56
signal2-model12303-UMC-,1.10,-9.45,-6.07,12.77,0.98,3,2,5.42,0.23,1220,0.35,0.36,6.07,0.20,52.56
signal2-model2INFO-INFY-,7.02,-8.28,-8.28,17.53,6.12,3,1,5.18,1.34,448,0.33,6.71,13.04,1.36,83.23
signal2-model22330-TSM-,0.63,-10.35,-7.44,5.46,0.34,3,2,2.77,0.24,483,0.18,0.65,4.05,0.23,66.12
signal2-model2ICICIBC-IBN-,8.63,-7.13,-6.37,29.44,8.06,2,2,5.57,1.51,597,0.36,7.72,17.52,1.55,83.46
signal2-model2TTMT-TTM-,11.69,-10.80,-10.24,35.59,10.98,2,2,7.49,1.51,224,0.48,9.95,21.15,1.56,84.38
signal2-model2HDFCB-HDB-,8.58,-3.93,-2.95,31.06,7.56,2,1,7.47,1.14,243,0.48,6.87,14.03,1.15,83.59
signal2-model22303-UMC-,3.68,-5.45,-5.45,21.56,3.39,3,2,6.18,0.61,475,0.40,2.30,7.56,0.60,59.68
