sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,7.52,-6.62,-6.62,18.24,7.17,3,2,5.35,1.38,351,0.34,7.64,13.97,1.41,81.29
signal1-model12330-TSM-,0.08,-13.77,-9.46,6.19,0.21,3,3,3.89,0.04,470,0.25,0.51,4.52,0.02,62.69
signal1-model1ICICIBC-IBN-,8.39,-3.88,-0.67,20.89,8.10,2,2,4.95,1.65,266,0.32,8.06,14.42,1.69,83.94
signal1-model1TTMT-TTM-,12.07,-12.02,-3.50,30.12,12.19,2,3,6.69,1.74,290,0.43,10.50,21.45,1.81,84.96
signal1-model1HDFCB-HDB-,6.29,-4.82,-1.31,18.20,6.09,3,2,5.86,1.07,251,0.37,5.29,12.09,1.07,70.00
signal1-model12303-UMC-,4.33,-6.13,-5.29,24.29,3.84,3,2,6.13,0.72,470,0.39,2.28,10.38,0.71,57.66
signal1-model2INFO-INFY-,8.76,-6.52,-6.52,18.82,8.68,3,1,5.07,1.68,439,0.32,10.31,14.91,1.73,92.98
signal1-model22330-TSM-,1.66,-6.08,-5.91,7.69,1.59,3,1,3.19,0.53,514,0.20,1.64,5.18,0.52,75.00
signal1-model2ICICIBC-IBN-,8.33,-3.63,-2.18,28.56,8.33,2,1,5.25,1.55,168,0.34,7.41,15.50,1.58,88.78
signal1-model2TTMT-TTM-,14.65,-6.07,-6.07,39.05,14.85,2,1,7.13,1.95,123,0.46,13.30,24.93,2.05,95.10
signal1-model2HDFCB-HDB-,10.36,-4.77,-2.81,31.06,9.99,2,1,8.14,1.25,194,0.52,8.75,20.04,1.27,86.75
signal1-model22303-UMC-,8.32,-5.30,0.04,24.92,7.70,3,1,6.66,1.23,171,0.43,5.44,16.47,1.25,76.92
signal2-model1INFO-INFY-,5.84,-7.53,-7.53,17.29,5.75,3,1,4.81,1.20,361,0.31,6.71,12.44,1.21,79.07
signal2-model12330-TSM-,-0.42,-14.73,-7.51,4.67,-0.64,3,3,3.21,-0.11,506,0.21,-0.91,2.95,-0.13,58.82
signal2-model1ICICIBC-IBN-,8.17,-7.32,-6.69,21.72,7.84,2,2,5.05,1.58,456,0.32,7.69,14.61,1.62,82.55
signal2-model1TTMT-TTM-,9.93,-9.32,-7.78,30.00,10.01,2,2,6.88,1.41,330,0.44,8.43,20.51,1.44,80.27
signal2-model1HDFCB-HDB-,5.95,-4.82,-1.31,18.20,5.36,3,2,5.21,1.14,251,0.33,5.01,9.49,1.14,75.28
signal2-model12303-UMC-,1.28,-9.45,-6.07,12.77,1.02,3,2,5.35,0.26,1220,0.34,0.45,6.30,0.24,51.97
signal2-model2INFO-INFY-,6.16,-8.28,-8.28,17.53,6.08,3,1,4.74,1.28,448,0.30,6.53,13.04,1.30,83.01
signal2-model22330-TSM-,0.56,-10.35,-7.44,5.46,0.37,3,2,2.78,0.22,483,0.18,0.65,4.05,0.20,65.55
signal2-model2ICICIBC-IBN-,8.22,-7.13,-6.37,29.44,7.99,2,2,5.33,1.51,597,0.34,7.72,17.52,1.54,83.33
signal2-model2TTMT-TTM-,10.76,-10.80,-10.24,30.23,10.80,2,2,7.29,1.44,224,0.47,9.95,20.51,1.48,84.00
signal2-model2HDFCB-HDB-,8.46,-3.93,-2.95,31.06,7.57,2,1,7.48,1.12,243,0.48,6.87,14.03,1.13,83.33
signal2-model22303-UMC-,3.89,-5.45,-5.45,21.56,3.38,3,2,6.12,0.65,475,0.39,2.30,7.87,0.64,59.17
