,Time,Trade_Profit,Cost,N_Trade
0,2002-11-07,0.0,0.0,0
1,2002-11-08,0.0,0.0,0
2,2002-11-11,0.0,0.0,0
3,2002-11-12,0.0,0.0,0
4,2002-11-13,0.0,0.0,0
5,2002-11-14,0.0,0.0,0
6,2002-11-15,0.0,0.0,0
7,2002-11-18,0.0,0.0,0
8,2002-11-19,0.0,0.0,0
9,2002-11-20,0.0,0.0,0
10,2002-11-21,0.0,0.0,0
11,2002-11-22,0.0,0.0,0
12,2002-11-25,0.0,0.0,0
13,2002-11-27,0.0,0.0,0
14,2002-11-28,0.0,0.0,0
15,2002-11-29,0.0,0.0,0
16,2002-12-02,0.0,0.0,0
17,2002-12-03,0.0,0.0,0
18,2002-12-04,0.0,0.0,0
19,2002-12-05,0.0,0.0,0
20,2002-12-06,0.0,0.0,0
21,2002-12-09,0.0,0.0,0
22,2002-12-10,0.0,0.0,0
23,2002-12-11,0.0,0.0,0
24,2002-12-12,0.0,0.0,0
25,2002-12-13,0.0,0.0,0
26,2002-12-16,0.0,0.0,0
27,2002-12-17,0.0,0.0,0
28,2002-12-18,0.0,0.0,0
29,2002-12-19,0.0,0.0,0
30,2002-12-20,0.0,0.0,0
31,2002-12-23,0.0,0.0,0
32,2002-12-24,0.0,0.0,0
33,2002-12-25,0.0,0.0,0
34,2002-12-26,0.0,0.0,0
35,2002-12-27,0.0,0.0,0
36,2002-12-30,0.0,0.0,0
37,2002-12-31,0.0,0.0,0
38,2003-01-02,0.0,0.0,0
39,2003-01-03,0.0,0.0,0
40,2003-01-06,0.0,0.0,0
41,2003-01-07,0.0,0.0,0
42,2003-01-08,0.0,0.0,0
43,2003-01-09,0.0,0.0,0
44,2003-01-10,0.0,0.0,0
45,2003-01-13,0.0,0.0,0
46,2003-01-14,0.0,0.0,0
47,2003-01-15,0.0,0.0,0
48,2003-01-16,0.0,0.0,0
49,2003-01-17,0.0,0.0,0
50,2003-01-20,0.0,0.0,0
51,2003-01-21,0.0,0.0,0
52,2003-01-22,0.0,0.0,0
