,Time,Trade_Profit,Cost,N_Trade
0,2007-09-19,0.0,0.0,0
1,2007-09-20,0.0,0.0,0
2,2007-09-21,0.0,0.0,0
3,2007-09-24,0.0,0.0,0
4,2007-09-25,0.0,0.0,0
5,2007-09-26,0.0,0.0,0
6,2007-09-27,0.0,0.0,0
7,2007-09-28,0.0,0.0,0
8,2007-10-08,0.0,0.0,0
9,2007-10-09,0.0,0.0,0
10,2007-10-11,0.0,0.0,0
11,2007-10-12,0.0,0.0,0
12,2007-10-15,0.0,0.0,0
13,2007-10-16,0.0,0.0,0
14,2007-10-17,0.0,0.0,0
15,2007-10-18,0.0,0.0,0
16,2007-10-19,0.0,0.0,0
17,2007-10-22,0.0,0.0,0
18,2007-10-23,0.0,0.0,0
19,2007-10-24,0.0,0.0,0
20,2007-10-25,0.0,0.0,0
21,2007-10-26,0.0,0.0,0
22,2007-10-29,0.0,0.0,0
23,2007-10-30,0.0,0.0,0
24,2007-10-31,0.0,0.0,0
25,2007-11-01,0.0,0.0,0
26,2007-11-02,0.0,0.0,0
27,2007-11-05,0.0,0.0,0
28,2007-11-06,0.0,0.0,0
29,2007-11-07,0.0,0.0,0
30,2007-11-08,0.0,0.0,0
31,2007-11-09,0.0,0.0,0
32,2007-11-12,0.0,0.0,0
33,2007-11-13,0.0,0.0,0
34,2007-11-14,0.0,0.0,0
35,2007-11-15,0.0,0.0,0
36,2007-11-16,0.0,0.0,0
37,2007-11-19,0.0,0.0,0
38,2007-11-20,0.0,0.0,0
39,2007-11-21,0.0,0.0,0
40,2007-11-22,0.0,0.0,0
41,2007-11-23,0.0,0.0,0
42,2007-11-26,0.0,0.0,0
43,2007-11-27,0.0,0.0,0
44,2007-11-28,0.0,0.0,0
45,2007-11-29,0.0,0.0,0
46,2007-11-30,0.0,0.0,0
47,2007-12-03,0.0,0.0,0
48,2007-12-04,0.0,0.0,0
49,2007-12-05,0.0,0.0,0
50,2007-12-06,0.0,0.0,0
51,2007-12-07,0.0,0.0,0
52,2007-12-10,0.0,0.0,0
53,2007-12-11,0.0,0.0,0
54,2007-12-12,0.0,0.0,0
55,2007-12-13,0.0,0.0,0
56,2007-12-14,0.0,0.0,0
57,2007-12-17,0.0,0.0,0
58,2007-12-18,0.0,0.0,0
59,2007-12-19,0.0,0.0,0
60,2007-12-20,0.0,0.0,0
61,2007-12-24,0.0,0.0,0
62,2007-12-25,0.0,0.0,0
63,2007-12-26,0.0,0.0,0
64,2007-12-27,0.0,0.0,0
65,2007-12-28,0.0,0.0,0
66,2008-01-02,0.0,0.0,0
67,2008-01-03,0.0,0.0,0
68,2008-01-04,0.0,0.0,0
69,2008-01-07,0.0,0.0,0
70,2008-01-08,0.0,0.0,0
71,2008-01-09,0.0,0.0,0
72,2008-01-10,0.0,0.0,0
73,2008-01-11,0.0,0.0,0
74,2008-01-14,0.0,0.0,0
75,2008-01-15,0.0,0.0,0
76,2008-01-16,0.0,0.0,0
77,2008-01-17,0.0,0.0,0
78,2008-01-18,0.0,0.0,0
79,2008-01-21,0.0,0.0,0
80,2008-01-22,0.0,0.0,0
81,2008-01-23,0.0,0.0,0
82,2008-01-24,0.0,0.0,0
83,2008-01-25,0.0,0.0,0
84,2008-01-28,0.0,0.0,0
85,2008-01-29,0.0,0.0,0
86,2008-01-30,0.0,0.0,0
87,2008-01-31,0.0,0.0,0
88,2008-02-01,0.0,0.0,0
89,2008-02-04,0.0,0.0,0
90,2008-02-05,0.0,0.0,0
91,2008-02-13,0.0,0.0,0
92,2008-02-14,0.0,0.0,0
93,2008-02-15,0.0,0.0,0
94,2008-02-19,0.0,0.0,0
95,2008-02-20,0.0,0.0,0
96,2008-02-21,0.0,0.0,0
97,2008-02-22,0.0,0.0,0
98,2008-02-25,0.0,0.0,0
99,2008-02-26,0.0,0.0,0
100,2008-02-27,0.0,0.0,0
101,2008-02-28,0.0,0.0,0
102,2008-02-29,0.0,0.0,0
103,2008-03-03,0.0,0.0,0
104,2008-03-04,0.0,0.0,0
105,2008-03-05,0.0,0.0,0
106,2008-03-06,0.0,0.0,0
107,2008-03-07,0.0,0.0,0
108,2008-03-10,0.0,0.0,0
109,2008-03-11,0.0,0.0,0
110,2008-03-12,0.0,0.0,0
111,2008-03-13,0.0,0.0,0
112,2008-03-14,0.0,0.0,0
113,2008-03-17,0.0,0.0,0
114,2008-03-18,0.0,0.0,0
115,2008-03-19,0.0,0.0,0
116,2008-03-20,0.0,0.0,0
117,2008-03-21,0.0,0.0,0
